App.,Taxon,Term,Unit,Country,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
I,Acinonyx jubatus,bodies,Number of specimens,BH,,,,,1,,1,,,,
I,Acinonyx jubatus,bodies,Number of specimens,CA,,,,,1,1,,1,,,
I,Acinonyx jubatus,bodies,Number of specimens,CN,,,,,2,,,,1,,
I,Acinonyx jubatus,bodies,Number of specimens,DE,,,,,,,1,,,,
I,Acinonyx jubatus,bodies,Number of specimens,NZ,,,,,,,,,2,,
I,Acinonyx jubatus,bodies,,AR,1,,,,,,,,,,
I,Acinonyx jubatus,bodies,,CA,2,1,,,,,,,,,
I,Acinonyx jubatus,bodies,,CN,,2,3,,,,,,,,
I,Acinonyx jubatus,bodies,,ES,1,,,,,,,,,,
I,Acinonyx jubatus,bodies,,FR,1,,,,,,,,,,
I,Acinonyx jubatus,bodies,,KP,1,,,,,,,,,,
I,Acinonyx jubatus,bodies,,RU,2,,,,,,,,,,
I,Acinonyx jubatus,bodies,,RW,,3,,,,,,,,,
I,Acinonyx jubatus,bodies,,TH,,,,1,,,,,,,
I,Acinonyx jubatus,bones,Number of specimens,CA,,,,,,,,1,,,
I,Acinonyx jubatus,bones,Number of specimens,MX,,,,,,,,,2,,
I,Acinonyx jubatus,hair,g,CA,,,,,,100,,,,,
I,Acinonyx jubatus,leather products (small),,ZA,,,,,7,,,,,,
I,Acinonyx jubatus,live,kg,GB,,0.317,,,,,,,,,
I,Acinonyx jubatus,live,Number of specimens,IN,,,,,,,16,12,,,
I,Acinonyx jubatus,live,Number of specimens,MZ,,,,,,,16,4,4,,
I,Acinonyx jubatus,live,Number of specimens,ZM,,,,,5,5,,6,5,,
I,Acinonyx jubatus,live,,MW,,14,,6,2,1,,,,,
I,Acinonyx jubatus,live,,MZ,,,,,,18,13,,,,
I,Acinonyx jubatus,live,,ZA,,,,,,,,4,,,
I,Acinonyx jubatus,live,,ZM,,,,,3,2,4,,,,
I,Acinonyx jubatus,rug,,AT,1,,,,,,,,,,
I,Acinonyx jubatus,rug,,CA,2,,,,,,,,,,
I,Acinonyx jubatus,rug,,FR,2,,,,,,,,,,
